입학생,현재학년,학기,선택수,과목명,교과군,과목유형,의무교과군,비고
2025,2학년,3학년 1학기,8,주제 탐구 독서,국어,진로,N,
2025,2학년,3학년 1학기,8,화법과 언어,국어,일반,N,수능 관련 권장
2025,2학년,3학년 1학기,8,확률과 통계,수학,일반,N,수능 관련 권장
2025,2학년,3학년 1학기,8,미적분Ⅱ,수학,진로,N,
2025,2학년,3학년 1학기,8,영어 독해와 작문,영어,일반,N,
2025,2학년,3학년 1학기,8,심화 영어,영어,진로,N,
2025,2학년,3학년 1학기,8,역사로 탐구하는 현대 세계,사회,융합,N,
2025,2학년,3학년 1학기,8,금융과 경제생활,사회,융합,N,
2025,2학년,3학년 1학기,8,국제 관계의 이해,사회,진로,N,
2025,2학년,3학년 1학기,8,세계시민과 지리,사회,일반,N,
2025,2학년,3학년 1학기,8,인문학과 윤리,사회,진로,N,
2025,2학년,3학년 1학기,8,역학과 에너지,과학,진로,N,
2025,2학년,3학년 1학기,8,물질과 에너지,과학,진로,N,
2025,2학년,3학년 1학기,8,세포와 물질대사,과학,진로,N,
2025,2학년,3학년 1학기,8,행성우주과학,과학,진로,N,
2025,2학년,3학년 1학기,8,전자기와 양자,과학,진로,N,
2025,2학년,3학년 1학기,8,화학 반응의 세계,과학,진로,N,
2025,2학년,3학년 1학기,8,생물의 유전,과학,진로,N,
2025,2학년,3학년 1학기,8,지구시스템과학,과학,진로,N,
2025,2학년,3학년 1학기,8,전공 기초 프랑스어,제2외국어,진로,Y,
2025,2학년,3학년 1학기,8,전공 기초 중국어,제2외국어,진로,Y,
2025,2학년,3학년 1학기,8,데이터 과학,정보,진로,Y,
2025,2학년,3학년 1학기,8,언어생활과 한자,한문,융합,Y,온라인
2025,2학년,3학년 2학기,8,독서 토론과 글쓰기,국어,융합,N,
2025,2학년,3학년 2학기,8,직무 의사소통,국어,진로,N,
2025,2학년,3학년 2학기,8,전문 수학,수학,진로,N,
2025,2학년,3학년 2학기,8,실용 통계,수학,융합,N,
2025,2학년,3학년 2학기,8,심화 영어 독해와 작문,영어,진로,N,
2025,2학년,3학년 2학기,8,역사로 탐구하는 현대 세계,사회,융합,N,
2025,2학년,3학년 2학기,8,사회문제 탐구,사회,융합,N,
2025,2학년,3학년 2학기,8,여행지리,사회,융합,N,
2025,2학년,3학년 2학기,8,윤리문제 탐구,사회,융합,N,
2025,2학년,3학년 2학기,8,과학의 역사와 문화,과학,융합,N,
2025,2학년,3학년 2학기,8,기후변화와 환경생태,과학,융합,N,
2025,2학년,3학년 2학기,8,융합과학 탐구,과학,융합,N,
2025,2학년,3학년 2학기,8,프랑스어권 문화,제2외국어,융합,Y,
2025,2학년,3학년 2학기,8,중국 문화,제2외국어,융합,Y,
2025,2학년,3학년 2학기,8,정보 과제 연구,정보,진로,Y,
