기관/대학,대상학년도,자료종류,규칙DB반영,공식URL,발표일,최종확인일,검증메모,신뢰등급
서울대학교,2028,2028 전공 연계 과목 선택 안내,아니오-추정금지,https://admission.snu.ac.kr/undergraduate/notice?bbsidx=156194&md=v,2025-06-30,2026-08-18,공식 안내 존재. 현재 자동 구조화 DB에는 원문 첨부파일을 안정적으로 재취득하지 못해 규칙 미입력. 앱은 추정 금지.,A-대학입학처
고려대학교,2028,2028 자연계열 권장이수과목 공식 안내,아니오-추정금지,https://oku.korea.ac.kr/,2025,2026-08-18,공식 안내 존재를 확인했으나 이번 버전에서는 원문 표 전체를 재검증하지 못해 규칙 미입력.,A-대학입학처
중앙대학교,2028,2028학년도 학문단위별 이수 권장과목 안내(자연계열),아니오-추정금지,https://admission.cau.ac.kr/detail.do?board_seq=3092&menuurl=GtVhpgQCdX1JUrE85Ea%2BtA%3D%3D&pageNo=1,2025-08-29,2026-08-18,공식 PDF 존재. 원문 표 구조를 안정적으로 재취득하지 못한 행은 추정하지 않고 미입력.,A-대학입학처
이화여자대학교,2028,2028학년도 대입전형 권장 이수과목 안내,아니오-추정금지,https://admission.ewha.ac.kr/admission/html/ewharo/noticeView.asp?idx=15320,2026-04-30,2026-08-18,공식 권장 이수과목 공지 존재. 이번 버전에서는 해당 별도 공지의 첨부 표를 안정적으로 재취득하지 못해 규칙 미입력.,A-대학입학처
서강대학교,2028,2028학년도 신입학 대학입학전형 시행계획,아니오-추정금지,https://admission.sogang.ac.kr/enter/html/counsel/plan.asp,2026-04-30,2026-08-18,2028 시행계획 공식 공개. 별도 2028 전공별 권장과목표는 이번 확인에서 확보하지 못함.,A-대학입학처
성균관대학교,2028,2028학년도 입학전형 시행계획,아니오-추정금지,https://admission.skku.edu/,2026-04-30,2026-08-18,2028 시행계획 공식 공개. 별도 전공별 권장과목표는 이번 확인에서 안정적으로 확보하지 못함.,A-대학입학처
한양대학교,2028,2028학년도 신입학 전형계획,아니오-추정금지,https://site.hanyang.ac.kr/documents/11081467/664542580/2028%ED%95%99%EB%85%84%EB%8F%84%2B%ED%95%9C%EC%96%91%EB%8C%80%ED%95%99%EA%B5%90%2B%EC%8B%A0%EC%9E%85%ED%95%99%2B%EC%A0%84%ED%98%95%EA%B3%84%ED%9A%8D%284.30.%29.pdf/76d2915e-2d98-32dd-191f-f61e5d458b3d?t=1777512208890,2026-04-30,2026-08-18,2028 시행계획 공식 공개. 별도 전공별 권장과목표는 이번 확인에서 확보하지 못함.,A-대학입학처
연세대학교,2028,2028학년도 연세대학교 전공연계과목 선택 가이드라인,예-자연/의치약 전공별,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,공식 PDF 표를 기준으로 모집단위별 수학·과학 권장과목 구조화.,A-대학입학처
경희대학교,2028,2028 경희대학교 자연계열 전공 학문 분야별 고등학교 교과 이수 권장과목 수정 안내,예-자연/의약 전공분야,https://iphak.khu.ac.kr/file/download.do?ofn=2028%ED%95%99%EB%85%84%EB%8F%84+%EA%B2%BD%ED%9D%AC%EB%8C%80%ED%95%99%EA%B5%90+%EC%9E%90%EC%97%B0%EA%B3%84%EC%97%B4+%ED%95%99%EB%AC%B8%EB%B6%84%EC%95%BC%EC%9D%98+%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90+%EA%B5%90%EA%B3%BC%EC%9D%B4%EC%88%98+%EA%B6%8C%EC%9E%A5%EA%B3%BC%EB%AA%A9+%EC%88%98%EC%A0%95+%EC%95%88%EB%82%B4_20250828.pdf,2025-08-29,2026-08-18,2025.8 수정안 공식 PDF의 변경 후 표를 기준으로 구조화.,A-대학입학처
대입정보포털 어디가,2029,시행계획 공개시점 안내,상태관리,https://www.adiga.kr/,,2026-08-18,대학별 시행계획은 해당연도 1년 10개월 전에 발표 후 제공된다고 안내.,A-대교협공식
교육부,2029,2028 대입부터 적용되는 제도 틀,상위제도,https://www.moe.go.kr/,,2026-08-18,2029 대학별 세부전형과 구분. 통합형 수능/내신 체제의 상위 제도만 참조.,A-정부공식
한국대학교육협의회·대입정보포털 어디가,2028,2028학년도 권역별 대학별 권장과목(반영과목).xlsx,전국 확장 기준원,https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,2026-02-20,2026-08-18,2025-09-30 어디가 탑재 대학별 발표자료를 요약·정리한 대교협 공식 권역별 자료. 필수 이수 기준이 아닌 참고자료임을 명시.,A-대교협공식
강원대학교,2028,모집단위별 반영과목 안내,공식 원문 확인-세부표 구조화 대기,https://admission.kangwon.ac.kr/admission/bbs/1147/detail.do?pstSn=1802,2025-10-29 / 수정 2026-07-14,2026-08-18,대학 입학 후 학업 수행에 필요한 기초 교과목을 권장 교과와 핵심 과목으로 구분한다고 공식 안내.,A-대학입학처
부산대학교,2028,입학생 대상 고교 과목 선택 가이드,공식 원문 확인-세부표 구조화 대기,https://go.pusan.ac.kr/college_2016/pages/index.asp?b=B_1_1&bn=48588&f=ALL&m=read&nPage=1&p=50,2025-07-11 / 2차 수정 2026-06-01,2026-08-18,2028 입학생 대상 고교 과목 선택 가이드 2차 수정본 공식 공지.,A-대학입학처
조선대학교,2028,대학입학전형 기본계획 및 통합 변경 사전안내,공식 시행계획 확인-별도 권장과목 세부자료 추적,https://chosunworld.chosun.ac.kr/chosun/index.do,2026-04-30 / 변경 사전안내 2026-07-09,2026-08-18,조선대·조선간호대 통합에 따른 2028 시행계획 변경 사전 안내까지 공식 확인.,A-대학공식
