대상학년도,기관/대학,자료종류,현재상태,확인내용,공식URL,최종확인일,신뢰등급
2029,교육부,대입제도 체제,2028부터 적용되는 제도 확인,2028 입시부터 국어·수학·사회·과학 선택과목 없는 통합형 수능 및 내신 5등급 체제 확정. 2029 대학별 세부전형을 의미하지 않음.,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=294&boardSeq=97551&lev=0&m=020402&opType=N&page=1&s=moe,2026-08-18,A-정부공식
2029,대입정보포털 어디가,대학별 시행계획 공개시점,2029 대학별 시행계획 미공개 시기,대학별 대학입학전형 시행계획은 해당연도 1년 10개월 전에 발표 후 제공된다고 안내.,https://www.adiga.kr/,2026-08-18,A-대교협공식
2029,서울대학교,대학별 입학전형/권장과목,2029 공식 세부자료 미확인,2028학년도 대학 신입학생 입학전형 시행계획. 2028 자료를 2029 확정자료로 전용하지 않음.,https://admission.snu.ac.kr/undergraduate/notice?bbsidx=168854&md=v,2026-08-18,A-대학입학처
2029,연세대학교,대학별 입학전형/권장과목,2029 공식 세부자료 미확인,"2028학년도 관련 공식 입학자료 확인, 2029 시행계획은 검색상 미확인. 2028 자료를 2029 확정자료로 전용하지 않음.",https://admission.yonsei.ac.kr/seoul/,2026-08-18,A-대학입학처
2029,고려대학교,대학별 입학전형/권장과목,2029 공식 세부자료 미확인,"2028학년도 입학전형시행계획 공개, 2029 시행계획은 검색상 미확인. 2028 자료를 2029 확정자료로 전용하지 않음.",https://oku.korea.ac.kr/,2026-08-18,A-대학입학처
2029,서강대학교,대학별 입학전형/권장과목,2029 공식 세부자료 미확인,"입학처 전형시행계획 게시판 확인, 2029 시행계획은 검색상 미확인. 2028 자료를 2029 확정자료로 전용하지 않음.",https://admission.sogang.ac.kr/enter/html/counsel/plan.asp,2026-08-18,A-대학입학처
2029,성균관대학교,대학별 입학전형/권장과목,2029 공식 세부자료 미확인,"2028학년도 입학전형 시행계획 공개, 2029 시행계획은 검색상 미확인. 2028 자료를 2029 확정자료로 전용하지 않음.",https://admission.skku.edu/,2026-08-18,A-대학입학처
2029,한양대학교,대학별 입학전형/권장과목,2029 공식 세부자료 미확인,"입학처 공식 모집/전형 페이지 확인, 2029 시행계획은 검색상 미확인. 2028 자료를 2029 확정자료로 전용하지 않음.",https://go.hanyang.ac.kr/,2026-08-18,A-대학입학처
2029,중앙대학교,대학별 입학전형/권장과목,2029 공식 세부자료 미확인,"2028학년도 시행계획·권장과목 공개, 2029 시행계획은 검색상 미확인. 2028 자료를 2029 확정자료로 전용하지 않음.",https://admission.cau.ac.kr/,2026-08-18,A-대학입학처
2029,경희대학교,대학별 입학전형/권장과목,2029 공식 세부자료 미확인,"2028학년도 시행계획·자연계열 권장과목 공개, 2029 시행계획은 검색상 미확인. 2028 자료를 2029 확정자료로 전용하지 않음.",https://iphak.khu.ac.kr/,2026-08-18,A-대학입학처
2029,이화여자대학교,대학별 입학전형/권장과목,2029 공식 세부자료 미확인,"2028학년도 입학전형 시행계획 공개, 2029 시행계획은 검색상 미확인. 2028 자료를 2029 확정자료로 전용하지 않음.",https://admission.ewha.ac.kr/,2026-08-18,A-대학입학처
