적용학년도,자료상태,대학,모집단위,검색키워드,구분,핵심과목,권장과목,추가조건,출처기관,출처명,출처URL,발표일,최종확인일,비고
2028,공식-해당학년도,연세대학교,수학과,수학|수학과,전공연계 권장,,기하|미적분Ⅱ,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,물리학과,물리|물리학과,전공연계 권장,,기하|미적분Ⅱ|물리학,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,화학과,화학|화학과,전공연계 권장,,기하|미적분Ⅱ|화학,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,지구시스템과학과,지구|지구과학|지구시스템,전공연계 권장,,기하|미적분Ⅱ|지구과학,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,천문우주학과,천문|우주|천문우주,전공연계 권장,,기하|미적분Ⅱ|지구과학,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,대기과학과,대기|기상|대기과학,전공연계 권장,,기하|미적분Ⅱ|지구과학,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,화공생명공학부,화공|화학공학|화공생명,전공연계 권장,,기하|미적분Ⅱ|화학,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,전기전자공학부,전기전자|전자공학|전기공학,전공연계 권장,,기하|미적분Ⅱ|물리학,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,건축공학과,건축공학|건축,전공연계 권장,,기하|미적분Ⅱ,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,도시공학과,도시공학|도시,전공연계 권장,,기하|미적분Ⅱ,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,사회환경시스템공학부,환경시스템|사회환경|토목,전공연계 권장,,기하|미적분Ⅱ,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,기계공학부,기계|기계공학,전공연계 권장,,기하|미적분Ⅱ|물리학,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,신소재공학부,신소재|재료공학,전공연계 권장,,기하|미적분Ⅱ|화학,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,산업공학과,산업공학|산업경영,전공연계 권장,,기하|미적분Ⅱ,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
2028,공식-해당학년도,연세대학교,시스템반도체공학과,반도체|시스템반도체,전공연계 권장,,기하|미적분Ⅱ|물리학,자연·의치약 계열 공통: 과학 진로선택과목 3과목 이상 권장. 일반선택이 자율선택인 모집단위는 물리학·화학·생명과학·지구과학 중 자율선택.,연세대학교 입학처,2028학년도 연세대학교 전공연계과목 선택 가이드라인,https://www2.yonsei.ac.kr/entrance/plan/2028_guide.pdf,2026-04-30,2026-08-18,2029 상담에서는 2028 공식자료 참고로만 사용. 학교 미개설 여부와 교육환경을 구분하여 평가한다고 대학이 명시.
