대학,모집단위,적용학년도,자료상태,구분,핵심과목,권장과목,추가조건,출처기관,출처명,출처URL,발표일,비고,검색키워드
가톨릭대,자유전공학부,2028,2028 공식자료,,계열 구분 없이 자신의 진로 및 적성을 고려하여 교과목 선택 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,자유전공학부|자유전공
가톨릭대,인문사회계열,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,인문사회계열|인문사회
가톨릭대,국어국문학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,국어국문학과|국어국문학
가톨릭대,철학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,철학과|철학
가톨릭대,국사학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,국사학과|국사학
가톨릭대,영어영문학부,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,영어영문학부|영어영문
가톨릭대,중국언어문화학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,중국언어문화학과|중국언어문화학
가톨릭대,일어일본문화학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,일어일본문화학과|일어일본문화학
가톨릭대,프랑스어문화학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,프랑스어문화학과|프랑스어문화학
가톨릭대,국제학부,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,국제학부|국제
가톨릭대,법학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,법학과|법학
가톨릭대,아동학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,아동학과|아동학
가톨릭대,신학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,신학과|신학
가톨릭대,사회복지학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,사회복지학과|사회복지학
가톨릭대,심리학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,심리학과|심리학
가톨릭대,사회학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,사회학과|사회학
가톨릭대,경영학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,경영학과|경영학|경영
