대학,권역,자료학년도,자료집역할,민간자료링크,자료집명,근거등급,최종확인일
감리교신학대,서울권,2028,탐색용 링크,https://drive.google.com/open?id=18BqRXfPELVGskD8JRYHFoUXBjVj4U0Pe&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
강서대,서울권,2028,탐색용 링크,https://drive.google.com/open?id=1VBhlWwUA0I0vfh1e7fG7Lz38JSBF95dB&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
건국대,서울권,2028,탐색용 링크,https://drive.google.com/open?id=1S-D88OddYzuruB2R0Nh1k82rvsMfeqlf&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
경희대,서울권,2028,탐색용 링크,https://drive.google.com/open?id=1b4ah_rbj2IlL3VeXaw9L_gYu9Stjsbk6&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
고려대,서울권,2028,탐색용 링크,https://drive.google.com/open?id=1ytGQ2Jbe6jYE-JAQrkaotRtHEeHkbbJk&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
광운대,서울권,2028,탐색용 링크,https://drive.google.com/open?id=1yxYTaKdaDm4p1Eg6SSL28gFF7tDlqDXS&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
국민대,서울권,2028,탐색용 링크,https://drive.google.com/open?id=17JQnmysDuS7GCWoEJhbM6qfVFDHbV8iI&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
덕성여대,서울권,2028,탐색용 링크,https://drive.google.com/open?id=13Epk6seYHNUyfBriSNA6mID5nhPDTcfh&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
서강대,서울권,2028,탐색용 링크,https://drive.google.com/open?id=13wJrYLyeGLHZzCWpD7HgADcFmgyOZ8pL&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
서울과기대,서울권,2028,탐색용 링크,https://drive.google.com/open?id=1g3FohV22vtiBoQiUQBQwd1CDiIGZLUm-&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
서울대,서울권,2028,탐색용 링크,https://drive.google.com/open?id=11ar7jIKE1MKFOhqlFDAVjVyJgoAn-YxW&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
